exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
BITFLYER,FX_BTC_JPY,17566902,0.10000000,17567851,0.01000000,2025-07-16T07:08:12.587721Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:12.621708Z
BITFLYER,FX_BTC_JPY,17566902,0.10000000,17567851,0.01000000,2025-07-16T07:08:12.744704Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:12.744821Z
BITFLYER,FX_BTC_JPY,17566902,0.10000000,17567851,0.01000000,2025-07-16T07:08:12.801170Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:12.849976Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:12.887234Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567851,0.01000000,2025-07-16T07:08:12.907929Z
GMO,BTC_JPY,17565084,0.02000000,17568915,0.01000000,2025-07-16T07:08:12.930916Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:12.976790Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.014962Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590698,0.03400000,2025-07-16T07:08:13.097848Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.169546Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590697,0.01833626,2025-07-16T07:08:13.215807Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.307608Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590697,0.01833626,2025-07-16T07:08:13.342541Z
GMO,BTC,17600000,0.13108000,17600001,0.16400000,2025-07-16T07:08:13.398201Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.451619Z
GMO,BTC_JPY,17564931,0.00300000,17568915,0.01000000,2025-07-16T07:08:13.451690Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590697,0.01833626,2025-07-16T07:08:13.451709Z
BITFLYER,BTC_JPY,17587673,0.02000000,17590697,0.01833626,2025-07-16T07:08:13.538929Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.601652Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.735703Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.819856Z
BITFLYER,FX_BTC_JPY,17566903,0.05689556,17567386,0.05100000,2025-07-16T07:08:13.820037Z
