exchange,symbol,ts,bid1,bid1vol,bid2,bid2vol,bid3,bid3vol,bid4,bid4vol,bid5,bid5vol,bid6,bid6vol,bid7,bid7vol,bid8,bid8vol,ask1,ask1vol,ask2,ask2vol,ask3,ask3vol,ask4,ask4vol,ask5,ask5vol,ask6,ask6vol,ask7,ask7vol,ask8,ask8vol
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.693795Z,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17565780,0.00364502,17565722,0.00100000,17564948,0.02000000,17564653,0.05000000,17564652,0.09106881,17570139,0.05789770,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703
GMO,BTC_JPY,2025-07-16T05:19:17.728767Z,17562858,0.00500000,17562857,0.00100000,17562835,0.02000000,17561176,0.01000000,17561169,0.04700000,17559932,0.02000000,17559152,0.02000000,17559101,0.02000000,17567231,0.02000000,17567560,0.01000000,17567672,0.02000000,17567861,0.01000000,17568141,0.00200000,17568496,0.02000000,17568639,0.00100000,17568839,0.00200000
BITFLYER,BTC_JPY,2025-07-16T05:19:17.772686Z,17581848,0.00130462,17579822,0.05585220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575867,0.08208563,17575866,0.01107040,17575284,0.01000000,17586282,0.03200000,17586291,0.02000000,17586300,0.28830000,17586500,0.28830000,17586684,0.02579308,17586685,0.01107040,17586748,0.03890000,17587693,0.01107040
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.800393Z,17566385,0.02100000,17566269,0.01001279,17566241,0.01000000,17566240,0.01093396,17565722,0.00100000,17564949,0.11299297,17564948,0.02000000,17564653,0.05000000,17570139,0.00100000,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000,17570889,0.09600703
BITFLYER,BTC_JPY,2025-07-16T05:19:17.881700Z,17581848,0.00130462,17579823,0.03081844,17579822,0.05585220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575883,0.00569720,17575867,0.08208563,17586282,0.03200000,17586291,0.02000000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17586748,0.03890000,17587693,0.01107040,17588197,0.05000000
GMO,BTC,2025-07-16T05:19:17.918462Z,17588040,0.03000000,17585973,0.01000000,17585449,0.00900000,17584336,0.03521000,17584335,0.05000000,17583044,0.38614000,17580029,0.03000000,17576660,0.01000000,17589337,0.01900000,17589338,0.02000000,17589664,0.05000000,17590128,0.03000000,17590140,0.50000000,17590930,0.50000000,17591305,0.02100000,17593263,0.01479000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:17.950217Z,17566385,0.02100000,17566241,0.01000000,17566240,0.01093396,17565823,0.00364502,17565722,0.00100000,17564949,0.11299297,17564948,0.02000000,17564653,0.05000000,17570133,0.00699000,17570139,0.00100000,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000
BITFLYER,BTC_JPY,2025-07-16T05:19:18.012469Z,17581848,0.00130462,17579823,0.03081844,17579822,0.05585220,17579800,0.00100000,17579211,0.00364226,17576574,0.00692837,17575883,0.00569720,17575867,0.08208563,17586279,0.02000000,17586281,0.02000000,17586282,0.03200000,17586300,0.28830000,17586500,0.28830000,17586685,0.01107040,17586748,0.03890000,17587692,0.03091352
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:18.066748Z,17566385,0.02100000,17566241,0.01000000,17566240,0.01093396,17565823,0.00364502,17565722,0.00100000,17564949,0.11299297,17564948,0.02000000,17564653,0.05000000,17570133,0.00699000,17570139,0.00100000,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000
BITFLYER,FX_BTC_JPY,2025-07-16T05:19:18.171690Z,17566385,0.02100000,17566241,0.01000000,17566240,0.01093396,17565823,0.00364502,17565722,0.00100000,17564949,0.11299297,17564948,0.02000000,17564653,0.05000000,17570132,0.00100000,17570133,0.00699000,17570140,0.00461071,17570548,0.05000000,17570549,0.03084597,17570555,0.06500000,17570556,0.05063865,17570871,0.01000000
