exchange,symbol,trade_id,price,size,side,timestamp,created_at
GMO,BTC_JPY,GMO-1752646574162,17528397,0.02000000,BUY,2025-07-16T06:16:14.199Z,2025-07-16T06:16:14.162730
GMO,BTC_JPY,GMO-1752646574162,17528397,0.02000000,SELL,2025-07-16T06:16:14.199Z,2025-07-16T06:16:14.162828
BITFLYER,FX_BTC_JPY,BITFLYER-2609084300,17530048,0.02050000,SELL,2025-07-16T06:16:14.333099900Z,2025-07-16T06:16:14.408962
BITFLYER,FX_BTC_JPY,BITFLYER-2609084301,17530042,0.01000000,SELL,2025-07-16T06:16:14.333099900Z,2025-07-16T06:16:14.409065
BITFLYER,BTC_JPY,BITFLYER-2609086517,17551677,0.04765625,SELL,2025-07-16T06:16:14.431208100Z,2025-07-16T06:16:14.492604
BITFLYER,FX_BTC_JPY,BITFLYER-2609084302,17529549,0.00200000,SELL,2025-07-16T06:16:14.480072600Z,2025-07-16T06:16:14.495734
BITFLYER,FX_BTC_JPY,BITFLYER-2609084303,17529519,0.00363485,SELL,2025-07-16T06:16:14.480072600Z,2025-07-16T06:16:14.495847
BITFLYER,FX_BTC_JPY,BITFLYER-2609084304,17529519,0.00363474,SELL,2025-07-16T06:16:14.480072600Z,2025-07-16T06:16:14.495931
BITFLYER,FX_BTC_JPY,BITFLYER-2609084305,17530205,0.04338207,SELL,2025-07-16T06:16:16.539692700Z,2025-07-16T06:16:16.540328
BITFLYER,FX_BTC_JPY,BITFLYER-2609084306,17530895,0.00100000,SELL,2025-07-16T06:16:17.088353500Z,2025-07-16T06:16:17.079361
BITFLYER,FX_BTC_JPY,BITFLYER-2609084307,17530894,0.05537857,SELL,2025-07-16T06:16:17.088353500Z,2025-07-16T06:16:17.079408
BITFLYER,FX_BTC_JPY,BITFLYER-2609084308,17530886,0.00100000,BUY,2025-07-16T06:16:17.626511Z,2025-07-16T06:16:17.632571
BITFLYER,BTC_JPY,BITFLYER-2609086519,17551680,0.01000000,SELL,2025-07-16T06:16:19.027271100Z,2025-07-16T06:16:19.038122
BITFLYER,FX_BTC_JPY,BITFLYER-2609084309,17530886,0.01000000,BUY,2025-07-16T06:16:26.910209700Z,2025-07-16T06:16:26.913256
GMO,BTC_JPY,GMO-1752646591846,17529430,0.01800000,BUY,2025-07-16T06:16:31.880Z,2025-07-16T06:16:31.847446
GMO,BTC_JPY,GMO-1752646591847,17529430,0.01800000,SELL,2025-07-16T06:16:31.880Z,2025-07-16T06:16:31.847690
BITFLYER,FX_BTC_JPY,BITFLYER-2609084310,17530030,0.00100000,BUY,2025-07-16T06:16:32.121651300Z,2025-07-16T06:16:32.135127
BITFLYER,FX_BTC_JPY,BITFLYER-2609084311,17530886,0.01150000,BUY,2025-07-16T06:16:32.121651300Z,2025-07-16T06:16:32.135186
BITFLYER,FX_BTC_JPY,BITFLYER-2609084312,17529312,0.00100000,SELL,2025-07-16T06:16:32.121651300Z,2025-07-16T06:16:32.153062
BITFLYER,FX_BTC_JPY,BITFLYER-2609084313,17531742,0.01000000,BUY,2025-07-16T06:16:32.356440400Z,2025-07-16T06:16:32.356109
GMO,BTC,GMO-1752646594344,17560023,0.00200000,BUY,2025-07-16T06:16:34.375Z,2025-07-16T06:16:34.344182
GMO,BTC,GMO-1752646594344,17560023,0.00200000,SELL,2025-07-16T06:16:34.375Z,2025-07-16T06:16:34.344279
BITFLYER,BTC_JPY,BITFLYER-2609086532,17554530,0.01087020,BUY,2025-07-16T06:16:34.358268700Z,2025-07-16T06:16:34.409335
GMO,BTC_JPY,GMO-1752646597277,17528182,0.01500000,SELL,2025-07-16T06:16:37.275Z,2025-07-16T06:16:37.277641
GMO,BTC_JPY,GMO-1752646597277,17528182,0.01500000,BUY,2025-07-16T06:16:37.275Z,2025-07-16T06:16:37.277743
BITFLYER,FX_BTC_JPY,BITFLYER-2609084314,17530769,0.00100000,SELL,2025-07-16T06:16:37.420078500Z,2025-07-16T06:16:37.420995
GMO,BTC,GMO-1752646599868,17559989,0.00390000,BUY,2025-07-16T06:16:39.877Z,2025-07-16T06:16:39.868177
GMO,BTC,GMO-1752646599868,17559989,0.00390000,SELL,2025-07-16T06:16:39.877Z,2025-07-16T06:16:39.868275
GMO,BTC,GMO-1752646599868,17559990,0.00060000,BUY,2025-07-16T06:16:39.877Z,2025-07-16T06:16:39.868371
GMO,BTC,GMO-1752646599868,17559990,0.00060000,SELL,2025-07-16T06:16:39.877Z,2025-07-16T06:16:39.868460
BITFLYER,BTC_JPY,BITFLYER-2609086545,17556204,0.02928970,BUY,2025-07-16T06:16:39.875502400Z,2025-07-16T06:16:39.931907
BITFLYER,BTC_JPY,BITFLYER-2609086547,17555302,0.01000000,BUY,2025-07-16T06:16:42.294143800Z,2025-07-16T06:16:42.343053
GMO,BTC,GMO-1752646603858,17558707,0.00005000,BUY,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859102
GMO,BTC,GMO-1752646603859,17558707,0.00005000,SELL,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859294
GMO,BTC,GMO-1752646603859,17558709,0.00365000,BUY,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859441
GMO,BTC,GMO-1752646603859,17558709,0.00365000,SELL,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859585
GMO,BTC,GMO-1752646603859,17559276,0.00330000,BUY,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859749
GMO,BTC,GMO-1752646603859,17559276,0.00330000,SELL,2025-07-16T06:16:43.871Z,2025-07-16T06:16:43.859876
GMO,BTC_JPY,GMO-1752646605104,17530440,0.00100000,BUY,2025-07-16T06:16:45.068Z,2025-07-16T06:16:45.104780
GMO,BTC_JPY,GMO-1752646605104,17530440,0.00100000,SELL,2025-07-16T06:16:45.068Z,2025-07-16T06:16:45.105007
BITFLYER,FX_BTC_JPY,BITFLYER-2609084315,17531742,0.00600000,BUY,2025-07-16T06:16:45.101696900Z,2025-07-16T06:16:45.145346
BITFLYER,FX_BTC_JPY,BITFLYER-2609084316,17531857,0.00100000,BUY,2025-07-16T06:16:45.101696900Z,2025-07-16T06:16:45.145403
GMO,BTC_JPY,GMO-1752646605357,17531717,0.00500000,BUY,2025-07-16T06:16:45.393Z,2025-07-16T06:16:45.357335
GMO,BTC_JPY,GMO-1752646605357,17531717,0.00500000,SELL,2025-07-16T06:16:45.393Z,2025-07-16T06:16:45.357434
GMO,BTC,GMO-1752646609341,17559011,0.00018000,BUY,2025-07-16T06:16:49.368Z,2025-07-16T06:16:49.341770
GMO,BTC,GMO-1752646609341,17559011,0.00018000,SELL,2025-07-16T06:16:49.368Z,2025-07-16T06:16:49.341959
GMO,BTC,GMO-1752646609342,17559012,0.00012000,BUY,2025-07-16T06:16:49.368Z,2025-07-16T06:16:49.342376
GMO,BTC,GMO-1752646609342,17559012,0.00012000,SELL,2025-07-16T06:16:49.368Z,2025-07-16T06:16:49.342535
GMO,BTC,GMO-1752646613342,17560119,0.00580000,BUY,2025-07-16T06:16:53.359Z,2025-07-16T06:16:53.342979
GMO,BTC,GMO-1752646613343,17560119,0.00580000,SELL,2025-07-16T06:16:53.359Z,2025-07-16T06:16:53.343178
GMO,BTC,GMO-1752646617331,17561999,0.00020000,BUY,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.331425
GMO,BTC,GMO-1752646617346,17561999,0.00020000,SELL,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.346885
GMO,BTC,GMO-1752646617346,17561999,0.00019000,BUY,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347002
GMO,BTC,GMO-1752646617347,17561999,0.00019000,SELL,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347070
GMO,BTC,GMO-1752646617347,17562248,0.00012000,BUY,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347143
GMO,BTC,GMO-1752646617347,17562248,0.00012000,SELL,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347233
GMO,BTC,GMO-1752646617347,17562387,0.00429000,BUY,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347297
GMO,BTC,GMO-1752646617347,17562387,0.00429000,SELL,2025-07-16T06:16:57.362Z,2025-07-16T06:16:57.347371
BITFLYER,FX_BTC_JPY,BITFLYER-2609084317,17534870,0.08000000,BUY,2025-07-16T06:17:00.358126500Z,2025-07-16T06:17:00.340897
